timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version,request_ref,response_ref,queue_ms,store_ms,queue_bytes,request_dict_id
2026-08-26T13:17:06.017+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,4338,260337,993,end_turn,818062,24849,2955,64480,ok,,,0.1.0,req-749,resp-862,0,28,842911,9dd33823
2026-08-26T13:21:16.617+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1030,261330,4348,tool_use,832489,14706,1903,14866,ok,,,0.1.0,req-750,resp-863,0,20,847195,9dd33823
2026-08-26T13:21:31.535+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,938,265678,1847,tool_use,838947,21341,1816,11831,ok,,,0.1.0,req-751,resp-864,0,15,860288,9dd33823
2026-08-26T13:21:43.393+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,375,267525,1035,tool_use,842351,16212,2060,5635,ok,,,0.1.0,req-752,resp-865,0,12,858563,9dd33823
2026-08-26T13:21:49.065+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,276,268560,473,tool_use,843545,10853,1815,4350,ok,,,0.1.0,req-753,resp-866,0,10,854398,9dd33823
2026-08-26T13:21:53.428+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,5994,269033,374,tool_use,844452,283428,2282,81386,ok,,,0.1.0,req-754,resp-867,0,22,1127880,9dd33823
2026-08-26T13:23:30.604+00:00,session-08,,anthropic,claude-opus-5,/v1/messages/count_tokens,false,,,,,,37387,22,344,345,ok,,,0.1.0,req-755,resp-868,0,4,37409,9dd33823
2026-08-26T13:23:30.963+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1831,269407,9319,tool_use,871545,100110,2035,25653,ok,,,0.1.0,req-756,resp-869,0,18,971655,9dd33823
2026-08-26T13:23:56.719+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1125,278726,1906,end_turn,877538,7497,1850,16115,ok,,,0.1.0,req-757,resp-870,0,14,885035,9dd33823
2026-08-26T13:27:12.915+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,94,98,280632,1125,end_turn,881194,2132,2257,3914,ok,,,0.1.0,req-758,resp-871,0,17,883326,9dd33823
2026-08-26T13:27:41.878+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,6953,281757,131,end_turn,881425,39997,2089,101102,ok,,,0.1.0,req-759,resp-872,0,20,921422,9dd33823
2026-08-26T14:04:26.633+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,4247,281888,7187,tool_use,906507,72664,4839,65639,ok,,,0.1.0,req-760,resp-873,0,18,979171,9dd33823
2026-08-26T14:05:32.343+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,671,289075,4475,tool_use,924112,33085,1927,10398,ok,,,0.1.0,req-761,resp-874,0,12,957197,9dd33823
2026-08-26T14:05:42.764+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1372,293550,768,tool_use,926106,52664,1814,19697,ok,,,0.1.0,req-762,resp-875,0,16,978770,9dd33823
2026-08-26T14:06:02.558+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1047,294318,1451,end_turn,931412,7285,1744,16634,ok,,,0.1.0,req-763,resp-876,0,19,938697,9dd33823
2026-08-26T14:06:19.208+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,504,6,295769,1047,end_turn,936171,1614,1730,2348,ok,,,0.1.0,req-764,resp-877,0,14,937785,9dd33823
2026-08-26T14:11:02.940+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,94,83,296816,0,end_turn,934984,1937,2248,3687,ok,,,0.1.0,req-765,resp-878,0,21,936921,9dd33823
2026-08-26T14:16:11.077+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,3972,296816,221,end_turn,935456,24293,2133,61318,ok,,,0.1.0,req-766,resp-879,0,22,959749,9dd33823
2026-08-26T14:17:12.451+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,504,14,297037,3972,end_turn,951811,1627,1892,2812,ok,,,0.1.0,req-767,resp-880,0,26,953438,9dd33823
2026-08-26T14:22:42.084+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,2951,301009,89,tool_use,950671,20949,2403,43471,ok,,,0.1.0,req-768,resp-881,0,37,971620,9dd33823
2026-08-26T14:24:06.570+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,2116,301098,4053,tool_use,965365,124790,3055,26672,ok,,,0.1.0,req-769,resp-882,0,17,1090155,9dd33823
2026-08-26T14:24:33.270+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,649,305151,2214,tool_use,971782,32798,2040,9341,ok,,,0.1.0,req-770,resp-883,0,16,1004580,9dd33823
2026-08-26T14:24:42.691+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,461,307365,747,tool_use,974250,21911,2240,6871,ok,,,0.1.0,req-771,resp-884,0,21,996161,9dd33823
2026-08-26T14:24:49.585+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,636,308112,559,tool_use,975659,36611,1906,8625,ok,,,0.1.0,req-772,resp-885,9,18,1012270,9dd33823
2026-08-26T14:24:58.246+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,899,308671,864,tool_use,978178,42588,2144,11557,ok,,,0.1.0,req-773,resp-886,0,14,1020766,9dd33823
2026-08-26T14:25:09.827+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,599,309535,996,tool_use,981229,26986,1990,7432,ok,,,0.1.0,req-774,resp-887,0,15,1008215,9dd33823
2026-08-26T14:25:17.334+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,624,310531,697,tool_use,982910,29110,2103,8348,ok,,,0.1.0,req-775,resp-888,0,13,1012020,9dd33823
2026-08-26T14:25:25.716+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,547,311228,722,tool_use,984691,10049,2015,8670,ok,,,0.1.0,req-776,resp-889,0,16,994740,9dd33823
2026-08-26T14:25:34.419+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1927,311950,1286,tool_use,988629,90101,1850,25684,ok,,,0.1.0,req-777,resp-890,0,16,1078730,9dd33823
2026-08-26T14:26:00.172+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,613,313236,2025,tool_use,994396,17869,1964,8148,ok,,,0.1.0,req-778,resp-891,2,15,1012265,9dd33823
2026-08-26T14:26:08.358+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,856,315261,711,tool_use,996580,41558,2174,11541,ok,,,0.1.0,req-779,resp-892,0,30,1038138,9dd33823
2026-08-26T14:26:19.922+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,986,315972,954,tool_use,998949,35302,2494,12909,ok,,,0.1.0,req-780,resp-893,0,24,1034251,9dd33823
